text,labeled
"@hunterry8 @RemoveRon Good, one less dumb Covid idiot in our state. Go to NY or Commiefornia, you'll enjoy there!",0
@JoeMamaRP @FoxNews no proof of that as no ones been given covid purposely to see how sick they got and then again after getting the vax.,0
"@feartheboognish @Still11822685 @LynnieMarie89 @danell @MeghanMcCain Oh, ffs. Pharma companies spend gobs of $ on advertising, but they're not on the Covid vaccine.",0
"@CapnObvious3 THE SIMPLE ""GOD CREATED"" VITAMINS A, C, D3, IODINE, ZINC WILL STOP COVID COLD AND HAS BEEN ADMINISTERED IN THE U.S. AS THE SOLUTION...DRBROWNSTEIN.COM HAS TREATED APPROACHING 600 PATIENTS WITH THIS PROTOCOL WITH ""NO DEATHS"" AND ONLY 9 HOSPITALIZATIONS...WOW !",0
"@EJHill_PSC So? The left has decided that the narrative is that the unvaccinated are all ignorant conservatives (not true) &amp; they (not the Biden administration) are responsible for the pandemic continuing. 

The left will not give up that narrative no matter how many facts Paul shows them.",0
@DeadlineWH @SteveSchmidtSES @NicolleDWallace And how is that different from a left wing political movement creating chaos &amp; misery via lockdowns &amp; relentless fear-mongering so they could claim they would “bring order by “fixing” Covid?,0
"@hrkbenowen Fool me twice Shame on me but I'm done with Fauci, CDC and any other gov health org. I regret getting the vax and will def not get a booster",0
"@IceBergular91 @ksorbs Yet they’ve been working without “vaccine” for the past year and a half through the worst of the pandemic without problem. Yeah, makes a lot of sense.",0
"@ImranKhanPTI @Asad_Umar @DrMuradPTI... A person with corona has a survival rate of just below 100% and you're testing these vaccines on us causing us harm and even killing....
All responsibility is yours.... https://t.co/Sqw2h7VXRB",0
"@newsmax CCP Virus≠China Virus  
     Chinese people ≠ CCP Communist Party https://t.co/iZFE6LG6uC",0
"@Fynnderella1 @US_FDA @CDCDirector, you are either lying or ignorant about the COVID vaccines and have no basis to assure pregnant women that ""it is safe"" for them to receive these injections. The FDA published statement on the topic is in clear contradiction to your own.",0
@mcuban Let the covid happen organically. As Darwin anticipated.,0
@BearAllycat @rsnoeljr @AsteroidDave @laurenboebert Compare the covid shot to the flu shot. Why don't they mandate the flu shot?,0
"@markepsom @joedunford200 @criticalamitous @stevewmobb @mariannaspring Joe’s accusing you of a lack of empathy, which is not evident in what you said. I believe it's just because you had a go at him because he disrespects the right of those who are suspicious of the Covid regulations to have an alternate view.",0
@conservatyler I have a friend who recovered from Covid with the help of Ivermectin!,0
@ClayTravis @mcuban Testing vaccinated people or people who had Covid is absurd.  These people will get Covid and it’s a cold.  It’s not a zero sum game.  No way to get back to normal if we are tearing everyone who do not even have symptoms.,0
@TheInsiderPaper Most hospitals have made a shit ton of $$$ following Covid protocols  that kill people so they can cash out on them.,0
"@CTVNews I KNOW 2 people who died of stage 4 Cancer and had ""covid"" stamped on their death certificates.",0
"@JackPosobiec Oh please, didn’t these hospitals just make a ton of $$ with their false China virus #’s. Looks like they will up their Covid designations to get the better/higher $$.",0
COVID vaccine = US southern border,0
@RoyalHotspur @PublicEnemyNo_1 @JamesSurowiecki But why do they need the vaccine if they were working during the whole pandemic when the vaccine wasn’t available you people are crazy.,0
"@Barnacules @FBI @cdc @SusanWojcicki @TheAKGuy Umm, those are protocols, not laws. And placebos are worthless in ""controlling"" a virus. 

Dude, you really just need to go hide in momma's basement with your placebo over your face and come out in a couple of years. You're gonna give yourself an aneurysm!!",0
"@PotatoFuria @astradalm @Deneragorn @eggporksalad @vlaxtheimpaler @CrivYourlife @BioStormX @shoe0nhead If you get covid you don't get to die 99% of the times (if you're young and healthy), that's enough chances for me.",0
"@CA_Washburn @VARAIDERFAN @mcuban That’s weird because in the UK they’re saying 30,000 people have died 21 days after taking the vaccine. 
https://t.co/rapBf8nP5v",0
"@PeterHotez You are a disgrace to my medical profession. You are either totally ignorant of medical science or you are a liar.   There are over a dozen studies out there that show robust immunity from natural infection, far better than from the leaky, unsafe Covid vaccines.",0
"@drterrymcd My guest plan is if you had the vaccine please practice social distancing. If unvaccinated come as you are, I would love to make you dinner.",0
@kfgibson @Surdi4Congress You're not vaccinated. You simply had a  shot that doesn't enable you to make antibodies that will prevent vivid. You can still get Covid and pass it to others.  You've been conned.,0
"@ChefGruel Three months ago I could sit down at a restaurant without mask or vaccine pass. Restaurants are now losing out on my, and others', dollars.

I refuse to eat at any restaurant where I have to disclose my medical history or wear a useless face diaper.",0
"@sunlorrie Sigh. The hysteria about COVID is so overblown. Which I’ve been tweeting about for months, almost years. But you do you…",0
"@mcuban No, that's absurd.   He is stating that natural covid immunity should be treated the same as a vaccine.  Not arguing against a vaccine.  So someone that had Covid last month should be vaccinated?   You you put preference over a vaccine 10-months ago over Covid two months ago?",0
@chiproytx @RonDeSantisFL Trump/DeSantis 2024. Maybe even sooner. God Bless these courageous freedom fighters. There is no pandemic and germ THEORY only exists to empower the billion dollars Rx industry. #terraintheory #terrainmodel,0
"@PaulRChase @EricMMatheny Still, yourcomment presents the notion that “vxx immunity is superior” as a foregone conclusion. Whereas my research indicates that I’m four times more likely to be injured by a vaccine, having had Covid. So, no thank you.",0
@Vintagedrummer7 Sick ppl with conditions other than covid will die will from those conditions regardless if they’re covid vaccinated or not - is this more “dying with covid or dying from covid”,0
"@Cernovich I’ve had COVID. It wasn’t pleasant, so I earned my antibodies. Why would I get the shot too?",0
@TonyStuart55 @ChrisPenknz @JennyWi18628806 There is only a 0.1% chance of dying from Covid.,0
@annleelyn1 @sonnythreatt @POTUS Ahhh. You will spoil the pfizermectin plan. We are held hostage everyti.e covid ends and DEMS couldn't take credit. So now we wait for pfizermectin so they can take treatment credit,0
@TheBabylonBee Or at least blame them for the pandemic once the vaccinated got injected with the hyper viral loads to become the super spreaders,0
"Well, look, the COVID Honey Badger (imprison the unvaccinated!) Dr. Leana Wen was a ""crisis actor"" in the 2013 Boston Marathon Bombing
https://t.co/9HaeRLkDuB",0
"@TheM0dalice YES, Covid ""Op"" is about control.

Site in this video belongs to an Indian Tribe? A completely separate government, than one recruiting Covid workers... it's a separate nation.  They may be trying to serve tribe members.

But wouldn't trust WA or U.S. HHS as far as I can throw em",0
"@business CCP Virus≠China Virus  
     Chinese people ≠ CCP Communist Party https://t.co/8kaQhV9QKw",0
@brianstelter Simple question-do vaccines stop you from getting covid or spreading it?  Answer no -so it’s a shot not a vaccine !,0
@KrauthBen @caty_price @DHughesy Outdoors are rare until you have protestors on top of each other no social distancing  no mask screaming shouting spit particles going every. I’m guessing the infectivity rate was quite high at these protests compared to normal outdoor activities.,0
"@9NewsAUS @cokeefe9 Double vaxx'd Super spreading flights imminent... 
Obviously these people bringing in covid is the fault of the #unvaccinated...",0
"@CharonLucas1 Unclear.  This article says complications from cancer, which could include COVID.

https://t.co/2iSWcMU1Nh",0
@LinaHidalgoTX The mask itself is dangerous to the child.  We have the medications to treat the symptoms of COVID-19.  If only the government will allow it. Ask why is the government preventing these medications!,0
@wfaa Just about the dumbest people on the planet.  Senate leaders and the GOP is calling out Biden in his unconstitutional Vax mandate bullying tactics.  That shot does not stop you from getting covid or spreading it. You can still die from covid with the shot. Wake up yall.,0
"@travistpeck no the vaccine doesn’t give it to you, COVID makes your anus restless

uhh

apparently",0
"@jrylryl If you are vaccinated, your odds of dying from Covid are negotiable. Meaning you should spend zero time or energy worrying about Covid. Vaccinated = safe from Covid",0
"Fully Vaxxed Former CNN Contributor Marc Lamont Hill Suffers Heart Attack and is Hospitalized with Blood Clots - Blasts NBA Player Critical of Covid Vax 

https://t.co/hcck5nswiW",0
@POTUS YOU ARE DONE! Your FAKE COVID SCARE ISN’T GOING TO WIN,0
@ChuckWendig Not until somebody reports that COVID turns you into a dark-skinned LGTBQ liberal atheist ...,0
@DrTomFrieden We must recognize our citizens that have had and survived COVID. For some reason the know-it-all's refuse to accept the science these citizens are protected against the virus and do not carry COVID. WHY? Maybe it's the lucrative profitability of another 200 million doses or what?,0
@RealBrysonGray I have covid right now on day 1.  I would be pissed if I got a vaccine for this. This is uncomfortable at worst. I can't believe they shut down the economy for something the flu is worse than. The bigger risk is the pneumonia. I got that covered with cannabis and anti biotics,0
"@SimoLove @10NewsFirstMelb Very very sus, saline in covid batches. This is part of the trial process. I’m sure a friend of mine received saline. No reactions nothing but her husband very unwell after getting jabbed at the same time and place.",0
Man-made virus that originated in a Chinese lab for political reasons. And you still wonder why people are hesitant of getting the vaccine? 🤦‍♀️🙅‍♀️💉,0
"@mochagirl73 @Kelly27Ms @HAVOK_usn @marclamonthill Nope. See, that just ain't possible.  It has animal carriers.   We'll never be consultin completely Covid free so unless you're willing to kill kids, you better stay locked up",0
@MassimoRiccia13 @jerdussault @BestSummerEver4 @CMOH_Alberta Exactly so lock down the unvaccinated minority while the vaccinated majority get our freedoms back,0
"@KansasGrant @RogerMarshallMD Covid 99.5% survival 
Abortion 0% survival",0
"@brodyburk @JoeZ84 @ClayTravis @mcuban Don’t need a vaccine, had covid, couldn’t taste for 2 months. Moving on.",0
@GarrickSissons @jacoblorinc You are a fascist covid cultist whose intellect is too frail to engage in real debate. That’s why you create a straw man to shadow box with. You sound insecure to the point of hysteria. Your use of the word “incel” is a Freudian slip. 🤡💩🎪,0
@mcuban You’re not a doctor Mr Cuban. I had Covid 19 months ago and I’m healthy. There is zero argument that means anything to me with an open border with illegal immigrants marching across untested and unvaccinated. I have antibodies. I’ve been exposed since and have not gotten ill.,0
@Llhession @CharlieCrist The NON vaxxed aren't the problem the vaxed are spreading it for god sake stay home or where your mask!! Wake up research the white dr's they are telling the truth,0
"HUNDREDS Of Medical Staff Are Being TERMINATED For Refusing Vaccine, Firing In A Pandemic Is INSANE https://t.co/iuicZjuYSt",0
So Ivermectin then?? Only way less affordable? Hmm! Nothing to see here! 🤔 https://t.co/iKrkJZAaA6,0
"The World Military Games held in #Wuhan from October 19-27, 2019.
9000 athletes from over 100 countries across the globe attended – and soon after, reports emerged that some had fallen ill from a mystery sickness.DID CHINA SPREAD #COVID-19 AT THE GAMES ? https://t.co/L2k9W4p3PD",0
"If you get the Pfizer vax, you're more likely to get COVID': Industry analyst flags FDA study - LifeSite https://t.co/QjbiDULba2",0
@LozzaFox Imagine being someone who still buys in to this pandemic crap 🤣🤣🤣🤣,0
"@cokeefe9 That’s simple &amp; powerful

“Covid zero states shouldn’t moan when other states move on”

If they want to be keep their state closed - by all means with all due respect - please keep it closed.

Don’t cry on the states that are opening.",0
@mcuban The NBA season should be cancelled.  It’s just not safe.  Kids could get the flu which we know is more dangerous to them than Covid.,0
@angrysoba @EricRWeinstein Did you not hear what happened to the Czech Republic’s numbers in March when they approved ivermectin for early onset covid? https://t.co/9PyHKrvoQr,0
@kylegriffin1 Unvaccinated and Vaccinated individuals both equally have the possibility of catching and spreading Covid. The vaccine only lessens the severity of your symptoms of you were to contract the virus. So why wouldn't they also require negative test from the vaccinated individuals?,0
"@SpaceBacon26 @PA4TRUMPD @CobyJayJr42 @Tweetin_jackleg @USSGoodGirl @CinnamonAuntie @CarolRoche6 I had covid in June 2020,. I'm immune",0
That vaccine that they cherish was due to Trump. https://t.co/LbGOq8rmzF,0
"They have successfully converted fear of covid to fear of the unvaccinated (unclean). 

Next step is to isolate the unclean. 

The final step is to punish them.",0
"‘KIDS SHOULDN’T GET A F*CKING [COVID-19] VACCINE’ — J&amp;J Executive | SOTN: Alternative News, Analysis &amp; Commentary https://t.co/zOBo1vKE0f",0
"In the next few years it’ll become increasingly evident the detrimental impact that school shutdowns from covid had on the younger generations. All over a virus with a 99% survival rate. At the end of the day, I hope this is all worth it.",0
"The Indians have figured out how to prevent Covid and treat it  ...Ivermectin and repurposed drugs have been used in their cocktail .
The Pharmaceutical companies have prevented via their power to find any solution that does not have patented drugs or vaccines",0
"Vaccination in general is laughable. They’ve never worked and are not science.

For all those out there that are “Pro-Vaccine” who’s going to make your precious vaccines? Merck? Moderna? Pfizer?

Wait, so the Covid Wing of Moderna is unethical, but hey....",0
How much would you need to get paid to take the covid vaxx? Lol 😂,0
"@e_galv If only she knew what ""bodily autonomy' meant in context of a global pandemic. It's like thinking smoking in an enclosed space with other people present only affected the smoker...

I wonder if we've passed any laws affected said smoker's 'bodily autonomy'?",0
@GidMK @BretWeinstein @GidMK @K_Sheldrick @boulware_dr @BretWeinstein @PierreKory @joerogan  @lexfridman let's make this podcast episode the most listened to in the history of podcasts. I would pay for this intellectual conversation. #jre #JoeRogan #spotify #lexfridman #Ivermectin #COVID19,0
"Coronavirus, flu, pneumonia, COPD, respiratory infections are all treatable. We need to be proactive and take vitamins, zinc, magnesium, vitamin C, Mucinex, ivermectin and other meds. Stay clean, wash hands. Self isolate. Covid vaccines are not for everyone.",0
@TheOrangeDuke1 https://t.co/LS0JI1xvXA &amp; I’m pretty sure Japan is having success with ivermectin for combating Covid-19.,0
"@KnightTrad @RobbScott7 @CBCAlerts Not one kid in Canada had died from covid. NOT ONE!! Do your research. 

But they have from the vaccine!!! God help your kids!",0
"@ElaineinRI @TiggerTangy @LeeroyPress May I ask, please, respectfully, if you are vaccinated against COVID-19, what threat does another person have against you?  Can anyone be 100% sure they do or do not have natural antibodies?  We're all patrons tested as vaccinated also contract and spread COVID-19?",0
"@shanlonwu Says the man paid by #CCP #DNC #BIDEN #CLINTON #TPP so ya, keep talking as we poor die of #COVID19 #CHINA #Wuhan death. Ask how @LeaderMcConnell wife &amp; your family’s are in the #WHO homeland",0
@DaxamVoice Also if you have covid why does it matter if you get the shot? It’s literally just pieces of covid rna,0
"@LynnRobb9 @TheMarieOakes Uttar Pradesh with less than 15% vaccinated and 220 million people 199 active covid cases and zero deaths. Ivermectin even provided to kids in home health packs. Scotland with 90% vaccinated has 27 deaths double vaxxed. https:// https://t.co/JCZmuDyAUq
https://t.co/OD6QQzyLBw",0
"@DavidBeazley4 @RMConservative Gossett took six ivermectin pills one day and eight pills the next day. “I felt much better,” he says. “After four days, I went to a clinic that people recommended. I was told that I didn’t have COVID anymore.”",0
Covid turned this man into a 50 year old white woman https://t.co/jJYTjujIRN,0
"@JamieSmythF @FT You call yourself a reporter not at all.
His story that 14 died from taken the Animal ivermectin is a made-up lie. Since the human version has been prescribed 4 billion times 16 people have died in 40 years. Vaccines have killed 15000 based on CDC data.",0
"@JTinTexs @soledadobrien Yes, this is a good point. I’m vaccinated and have no desire to take ivermectin, I just wish the conversation about it was more honest.  The human version won a Nobel in 2015.  It’s not clinically proven to help with Covid, but Soledad is doing the lazy journalism thing here.",0
"@Jillbezz @HuffPost So my body my choice? Medical autonomy, privacy &amp; freedom?

All for it but must apply to vaccine mandates, also something about which the corrupt &amp; captured fed officials know nothing 

The vaccines are NOT necessary, effective, safe or strategic 

https://t.co/XgIQ4UDCtY",0
"@Blacksmitheart @McKaylaRoseJ You have false information especially if you got it from mainstream media.For instance Uttar Pradesh 241 million people with 0 covid cases. How? IVERMECTIN.This is major news but you won't hear it. All they can say is ""get vaccinated"". Hundreds of thousands dead or injured with💉",0
"72,000 healthcare workers are being fired for refusing the vaccine in NY. There are doctors and nurses included in those numbers. Professionals that have treated Covid patients. If that isn’t a red flag about the vaccine then nothing is.",0
@PrestonBromley @CBCNews Ivermectin has been safely used by humans for decades  and has fewer side effects than aspirin.  Any medicine can be taken in lethal doses.  For some individuals the first injection of the Covid vaccines prove fatal.  Denial doesn't change that.,0
"@TommyTortelini @marclamonthill WRONG!  WRONG WRONG!

IF YOU'VE HAD COVID YOU HAVE VERY LONG LASTING NATURAL IMMUNITY!!",0
"The greatest sources of #COVID disinformation are the mainstream #media , #SocialMedia , and government #publichealth 'experts'.",0
@Kevinkerner6 @Needleinthhay11 @M_Van_Hoever55 @RealCandaceO Covid? It only keeps you from getting “real sick” and knowing that no one can answer what additional harm does an unvax person pos to a vaxed person? Doesn’t it seem weird that the countries that are 90% vaxed are still “flooding the hospitals”? Or us it because this is such a,0
"I seen a tw🐦t asking why some countries do not have wide spread deaths of c○vid

The wide spread usage of Ivermectin in other countries has usage before hand helped stop the spread of c○vid

Very informative video

The Story Of Ivermectin And COVID-19 https://t.co/61DrGDM7Pa",0
"@CaseyJPod @realkidouija @yippyskippy69 @BAZiegler @Timcast Ok..thanks for the heads up! Ive had covid, and didn't need the ivermectin , so Im good to go.",0
"@2PointOhhh @ShinMadero @BretWeinstein You don't even know what you are saying anymore lol. You should stop and think for a second.

Millions of people around the world have bought, taken and received Ivermectin during this pandemic. Through pharmacies &amp; online purchases. You'd think if most bought the horse paste",0
"@KrisRobmakeadif @GeorgeFareed2 No

This virus was 100% engineered by Fauci and big pharma so they could make a fortune on ""cures"". They made it deadlier and more contagious on purpose.

They used a genocidal dictatorship to do this.

Blame the people who created it.

https://t.co/gMDxYfGqVz",0
"@PacificChorus @BretWeinstein Sure. Otherwise they would be re-testing Ivermectin, no? And they are actually pretty close. Both drugs are inhibitors of SARS-CoV-2 main protease - same mechanism of action is similar. But the new one is going to make some $$",0
@Amanda_ERLPN @storyofangie @ShayeGanam Even that won’t do anything. My sisters SIL had covid ended up in the hospital with double pneumonia amd are still saying she didn’t have covid it was just pneumonia. Oh and the ivermectin cured her…..FML,0
"@yeeweeyee @Clebeastt @ProjectPsyop @NinoOfGayskull @MacDoesIt @HHSGov You’re completely ignorant wow . Have you never heard of ivermectin ? Proven safe and effective for 30 years and in Covid studies it cured 100% of the time but after the studies were released , they took it off every pharma shelf … PLS USE YOUR BRAIN and intuition",0
"It is 100% fact (not conspiracy theory) that Uttar Pradesh crushed Covid by using Ivermectin + 4 other drugs in a package that cost $2.55.

210 million people.
Why isn't our Gov't handing these out to households??",0
"A monthly pill already exists, it is called Ivermectin,  2 dollars a month. https://t.co/J8H2PMKMi3",0
"Ivermectin ended Covid in an ENTIRE INDIAN PROVINCE.

You are a moron. https://t.co/RD75JHCmN6",0
"5 Trillion Socialists Spending Spree (.15c per Mile tax &amp; $50 tax per pig, $100 tax per Cow, $500 tax per Dairy Cow) after they wasted Covid Relief Trillions 1st of year to pay off Unions/Schools &amp; it's Pensions &amp; 1 Million per School! JOE saves USA! Otherwise we are Venezuela! https://t.co/IEi7LESzQN",0
"The people and organizations that initiated this pandemic won't stop or go away, no matter how much vaccine gets injected. Too much money has been made; too many careers and reputations on the line.
  And politicians will go with the flow. You have to:
 Get political  every day. https://t.co/xLGWvOZrxr",0
"@JeffFountain @BretWeinstein At this point it’s quite clear that ivermectin is both safer and more effective than vaccines, ma’am. Vaccination only increases your odds of catching, transmitting, and dying of covid.",0
"Beyond covid19, ivermectin can kill cancer cells... https://t.co/OaGGgzfNhj",0
"@lisa_iannattone In 1889-90 there was the Russian Flu pandemic which was most like caused by the OC43 coronavirus. Today, the OC43 is nothing more than a common cold. What is dystopian about that?

What is dystopian are lockdowns and curfews that hurt our society.",0
"@WHCOVIDResponse @WhiteHouse Covid deaths : 700,000

Biden Administration 43%  of total
with multiple vaccines available ! 
Avg. 1100 per day

Trump admin 57% of total
with no vaccine available ! 
Avg. 1300 per day

@LaraLeaTrump 
@MartyMakary 
@CDCDirector",0
"@mamasaurusMeg Ask the Mask tyrants,

What Masks are you Mandating?

What are the Specifications?

Show the Mask Manufacturers Claims/Data stating their Mask is Designed/Constructed to prevent transmission of Covid/Virus among children?

Show us the ""Science""",0
@DeannaDeanna061 @BonBee81 Same with my brother. Five eleven and 170 before COVid; lost 20 libs and bedridden for three weeks. Finally bounced back after Ivermectin given.,0
Exclusive:  US Army Brought COVID-19 to China with Fake ‘Military Games’ Team (March 2020 story) https://t.co/53l31uE3S7 via @veteranstoday,0
"Instead of committing a suicide, some Japanese may have committed a covidcide.
It is my assumption why the Japanese Covid cases and deaths so high in Tokyo area and other major cities.",0
"@ShinMadero @BretWeinstein Ivermectin has killed fewer people than the covid vaccines, and Ivermectin had been around for decades.",0
"@dpakman 1. Covid-19 was man-made

2. Dr. Anthony Fauci knowingly funded the Wuhan Institute of Virology to develop the coronavirus

3. The lockdowns and the public mandates are being used for political purposes

This footage was NOT supposed to get out:

https://t.co/ey7SVBFXvs",0
"@RWMaloneMD The Therapeutic Goods Administration in Australia has banned GPs from prescribing Ivermectin for Covid. The reason?  Because if people think they can get Ivermectin to improve their health outcomes, they won’t get the experimental vaccine. 🤦‍♂️ True story",0
"@MrKRudd HCQ and Ivermectin along with Vit C D and zinc will make you almost bulletproof to covid and every other respiratory disease. 
You’re the quack. Big Pharma crank. Gotta look after the interests of your Mrs before the general health of the nation hey. Cures don’t create customers",0
"#Monoclonalantibody treatments neutralize the enemy.

#COVID #Antibody

@BethanyKwan @AditGinde @HDayLum @MatthewWynia @RenJenPhD @CCTSI https://t.co/Altj1F8bAH",0
"@DonaldJTrumpJr IM SCRATCHING AUSTRALIA FROM MY BUCKET LIST!!
IF COVID DOESN’T KILL YOU THE AUSSIE POLICE WILL!!!",0
Facebook Groups Promoting Ivermectin as a Covid-19 Treatment Flourish https://t.co/ptQxKdyrLi https://t.co/TIp3CdPtsy,0
@Chykln @1LastRepublican @TyCardon @Cernovich Pretty sure its the same thing we been saying bud - if ur old as fuck and have health issues vac or no vac its bad bad news they are the ones that die thats it vac or no vac and delta is most contagious so yeah old people stay home give yourself a boost get some ivermectin,0
@maga_minnesota I have bottles of the injectable stored and i take 1cc 3 times a week in my morning coffee. I have been exposed multiple times in the last couple months to people actively sick with covid and have never even had a runny nose. Uses Ivermectin many times over the years,0
"@annbauerwriter @kerpen This article below is from WaPo from April 2020, before masks became almost universally worn.
Also, Fauci himself coauthored an article that suggested most Spanish flu deaths were actually bacterial.

https://t.co/BNJDGXIKzV",0
@mcuban Look at Israel they have the highest vaccination yet are having record high covid cases. India has the lowest vaccination record at 17% and have the lowest covid cases. Fauci and the CDC lied the vaccines doesn’t work if anytime they are making shit worse 😂 https://t.co/LoGQzuQwzR,0
"Why is no one asking how India eliminated COVID in about 2 months in the most populous country on earth.   Deaths are near Zero and cases went from 450,000 a day to around 25,000 (significantly less than the USA).  Why? Ivermectin? Hydroxy? Vitamin D? Zinc?  Vaccine status is 17%",0
"@koat7news @koat7news Your headline is incorrect. It should read “NMDOH speaks on dangers of misuse of Ivermectin as a COVID treatment”. Mis-dosing upwards of 40 times a normal does is what is dangerous, not the drug itself if used properly.",0
"Federal Whistleblower Who Went Public with Secret Recordings on Covid Vax in Project Veritas Exposé Placed on Administrative Leave https://t.co/4GMaWhH34f via @gatewaypundit 
When Trump said their not after me their after you I, m just in the way he meant it now we have to get in",0
Pfizer Launches Final Study For COVID Drug That’s Basically Ivermectin https://t.co/xyj1ro0bs0,0
"Pfizer says that its “new” drug for the Wuhan coronavirus (Covid-19) will act as a “potent protease inhibitor.” It just so happens that ivermectin does the exact same thing, which is why some are now jokingly calling this “new” drug “Pfizermectin",0
@apb3000 @phillyd10 @mcuban This is basically like a flu vaccine...this does not get rid of Covid.  It's amazing the lack of information provided on this subject. https://t.co/9rewhAFlN6,0
"Covid is a FRAUD

f_r _ * _ u_d
#ivermectin
#Covid_is_a_FRAUD
#COVID1984
#COVID19
#new_world_order
#النظام_العالمي_الجديد
#genocide
#Vaccine
#COVID19Vaccine
#vaccinedanger
#vaccineinjury
#vaccinedeath https://t.co/e56DjnD24o",0
Tucker Carlson: The cult of coronavirus has become its own religion https://t.co/1W4OvE7ryN,0
Once again propaganda has spread and pharmacies are refusing to fill prescriptions of ivermectin. First Hydroxychlorquine withhelded now this. Government doesn't want to treat covid19. They want to keep control of ppl https://t.co/j1h9unxBf5,0
"@king_leon @Jim_Jordan Natural immunity is best. Substitute immunity is an illusion as evident by hospital wards filling up with breakthrough cases. Ask Israel.

Masks in general are not healthy to be worn for long periods.

Mask reduces risk of Covid infection and the opportunity to build Cov immunity",0
"Dear #ProVax, even if you vaccinate all those in graves &amp; those still in womb, you can't stop Covid-19 from becoming Endemic https://t.co/R0jKUvcbOM
https://t.co/eckBjpNLh9
@WHO @pahowho @CDCgov @CDC_eHealth @eHealth @eHealth_EU @eHealthDC @eHealthSask @healthglobal @ehealthpaho",0
"When radical Dem activists say sh*t like this, that's why body listens to the Dems's COVID propaganda. https://t.co/fd5c7GuqpP",0
"Why are the Soviet Union Coronavirus numbers way down??  Looks like they came up with a solution for all....

#coronavirus #Russian #TrumpIsATerrorist #Putin https://t.co/DQkA6oIoHg",0
@Covid19Critical It begins to make sense why they would never let us use ivermectin as a Covid prophylaxis.  Population wide use would soon discover all the amazing properties.,0
"1)The Gateway Pundit previously reported that COVID cases are plummeting in India thanks to new rules that promote Ivermectin and hydroxychloroquine to its massive population. The 33 districts in Uttar Pradesh, India have now become free from COVID-19 government informed on Fri.",0
"@kylenabecker @panamazon External peer review of the RTPCR test to detect SARS-CoV-2 reveals 10 major scientific flaws at the molecular and methodological level: consequences for false positive results

https://t.co/6cotFc0SrC…

#StopTheTrialVaccinesNow",0
@JeKal67 @DouglasMackie4 @KTVBKatija @KTVB @the208KTVB Early treatment w/ Ivermectiñ (Nobel prize winning medicine for HUMANS) and hydroxychloroquinè WITH ZINC 80% success rate IMAGINE if the media / cdc didn’t censor those in the beginning of the pandemic 80% of those 500k ppl would be alive aka not a pandemic. Research. 🐑,0
"@cenkuygur @joerogan What the fuck are you talking about, chunk? Joe Rogan would whoop your buffalo-head ass even if he had COVID and ivermectin coming out every hole in his body.",0
"#IvermectinWorks 

#IvermectinSavesLives 

https://t.co/lVsZIDu4KT https://t.co/t9wxzyplVF",0
